Title,Group,For,Prop 1,Prop 2,Prop 3,Explanation,Longer Context,External Link,General Notes,Pairs With,Attribution Notes,Why These Categories,Modifying Group,Modifying For,Excels At,Use When,Not When,Stacks,Zooming
Concentric Circles,Pairs,Emotion,None,,,"Arrange your participants into two concentric circles such that everyone in the inner circle has a partner in the outer circle. Provide a discussion prompt or question, allow the partners to share, then have the outside circle move one participant to right. Repeat.",,,,,,,,,,,,,
Sharing Withholds,Full Group,Emotion,None,,,"Prime the group that you'll be asking them to share things they’ve been withholding. Use leading questions to surface thoughts, feelings, concerns, apprehensions (etc.) that the group will benefit from knowing. Don't allow cross-talk or responses and only one share (or equal numbers) from each participant per prompt.",,https://seedsforchange.org.uk/tools.pdf,,,"First saw in Seeds for Change and they are ""anti-copyright""!",,,,,,,,
Spectrum Questions,Full Group,Emotion,Paper,Tape,Markers,"Facilitator asks a question or delivers a prompt and participants respond by placing themselves (physically) on a spectrum from strongly disagree to strongly agree (or other poles). Between each prompt, allow for popcorn shares from different positions.",,,,,,,,,,,,,
4 Squares,Individual,Ideation,Paper,Writing Utensils,,"Pass out paper and writing utensils. Have participants divide their page into four quadrants. Then give them a distinct prompt for each square, asking them to respond in writing, drawing, key words, etc.",,,,,,,,,,,,,
Drawing Caricatures,Pairs,Ideation,Paper,Writing Utensils,,"Ask participants to draw a caricature (i.e., an exaggerated, unrealistic depiction) of a concept, emphasizing the aspects  they believe are the most important. Have them present their drawings, or work as a group to draw a team drawing composed of the individual caricatures.",,,,,,,,,,,,,
Sticky Note Generator,Individual,Ideation,Sticky Notes,Markers,,"Pass out a mini stack of sticky notes to each participant. Ask them to come up with ideas regarding a concept, one idea per note. Optionally, you may pass out more stickies to participants who need them, restrict the number per participant, or ask that every participant uses all of their notes. Stick all the notes on a viewable surface.",,https://www.youtube.com/watch?v=UsZwdUvFnSc&feature=youtu.be&t=34m13s,,,"Gamestorming has a write up of something similiar and they attribute it to a book that is rocking the Ⓡ https://gamestorming.com/post-up/ . So lord knows this is a ridiculous thing to lay claim to but may be out there.
",,,,,,,,
Reverse Engineering,Individual,Ideation,Paper,Writing Utensils,,"Ask the participants to imagine that they're in a future where you've accomplished your goals, or achieved perfection in regards to a particular concept. Viewing that finished product, what steps were taken to accomplish it? What pitfalls were avoided?","Pass out paper and writing utensils to participants. After everyone has supplies, provide initial context for the activity. Give the instructions, asking participants to imagine they’re in a future where whatever you’re currently concerned with (i.e., the project, goal, concept, idea) is perfect. A utopian version of whatever you’re focusing on. Pause for a moment so they can reflect on that idea.
This is one of those situations where the old adage “there is no ‘correct’ answer” answer applies. You want to encourage them to come up with as bold, creative, or unique of an idea for their future as they feel compelled to imagine. No limitations and this won’t be graded. It’s okay if everyone’s answers are different. If you’re going to be having them share their reflections, tell them that up front.
After they’ve had a moment to reflect, ask them to write down any thoughts they have on how that future was accomplished. For example, “What needed to happen in order to get to that perfect future? What were the steps taken to succeed? How were pitfalls avoided along the way? What were the big milestones? Forks in the road? Decisions?”",,,"Subcommittees,Sticky Note Generator ,Mindmapping",No copyright stuff.,"Having participants work as individuals on this activity allows participants to generate different ideas for what the perfect future would look like and the steps to get there. This enables the group to get a sense of what everyone is currently viewing as the ideal outcome, with all the different outcomes and steps along the way.
You’ll often find that many of the ideas people come up with are universally helpful, even when their ideal futures vary.","For pairs or small groups, the tricky part is going to be ensuring everyone agrees on what their utopian future is. You can do this in one of two ways: establish a consensus on what that is beforehand (then have pairs or small groups split up to ideate on the steps), or build consensus-making into the process. After your groups have consensus, you can follow through on the process exactly as you do individually, having everyone contribute ideas and recording them.","For emotion, ask participants how they feel right now regarding the project or the topic at hand. Then ask them to write down what are all the things that are going on that contributed to their current state. “What needed to happen in order for you to feel the way you do right now?” Alternatively, if you want to have them envision a future emotional state, ask them how they would like to feel about the topic at hand, “What would an ideal future emotional state be?” Have them brainstorm about that future emotional state, determining what would have needed to happen in order for them to feel that way.
For clarification, have participants reverse engineer what it took to accomplish something that’s already happened (i.e., a project, creation, organization, or current status quo). “What led to the thing that currently exists existing?” You can do this individually, in small groups, or as a full group.

","**When open-ended brainstorming feels overwhelming.** There is a philosophy when teaching chess that has the learner start with just the final pieces left on the board (the “end game”), instead of learning from the starting position with all pieces in play (the “opening”). *Reverse Engineering* works similarly, removing all the pieces you don’t need, and working your way backward from a successful endgame.
**Quality over quantity.** The ideas generated by *Reverse Engineering* will tend to be fewer in numbers than other ideation processes, but more likely to be useful. Because you’re asking for people to consider their impact, and alignment within an overall process, the ideas that surface are more likely to be strong contenders.
**Getting clear on the destination.** Sometimes conversation gets stuck in the, “How are we going to do this?” and never gets to the, “What are we working towards?” and “Are we united in the vision?” This tool requires people to get clear about what outcomes would manifest in their perfect world, and what would need to happen to get there.
**Starting fresh.** Sometimes we get stuck in trying to solve problems because our thinking is too focused on what is already happening, or has happened. This can limit us to incremental thinking, or bind our options. *Reverse Engineering* is great because it allows our thinking to be shaped by what we want to be true rather than by what has happened in the past, or is currently true.","**Use Reverse Engineering, not Generate a List when...** you want to provide space for people to ideate on their own. When members of the group are dominating the conversation it’s hard for the quieter or more reflective participants to get their ideas out, or to have a chance to sit with their ideas, *Reverse Engineering* creates an opportunity for everyone to do deep thinking before discussing their ideas with the group.
**Use Reverse Engineering, not Drawing a Caricature when…** you want the ideas generated to be related as part of a process, not merely thematically related to your central concept. ","**You want to focus on the low hanging fruit.** The ideas that are surfaced in this process are thoughtful, and tend to require a lot of mental work. If you just want the first things that come to people’s minds, we recommend *Make a List* instead.
**Individuals aren’t likely to be able to imagine a clear future regarding your concept.** If they don’t have the agency to effect change, or necessary information to imagine the steps, creating a mental utopia will likely be frustrating, impossible, or unhelpful. Use *I Know vs. I Wonder* instead.
**You need everyone to be on the same page.** There are likely going to be many divergent paths that result from individualized *Reverse Engineering*. If you need full group consensus, or for everyone to be working from a shared understanding, use *Opposite Thinking* instead.","**Reverse Engineering + Subcommittees =** After participants have their lists for *Reverse Engineering*, have them share their favorite ideas with the full group. Listen for shares that could be rolled into themes within the overall process (e.g., people involved, stages, content). Note these themes as you go. Then break the group into *Subcommittees* based on each theme, to expand on or clarify the ideas shared.
**Reverse Engineering + Sticky Note Generator + Urgent vs. Important Grid =** Instead of capturing their reverse engineering ideas in a list, have them generate stickies. After they’re done, create a giant *Urgent vs. Important Grid* and have participants add their stickies to the grid.
**Reverse Engineering + Mindmapping =** After participants have all generated their own list, have them share ideas with the full group. Capture unique ideas on sticky notes. After everyone has shared, create a mindmap with the stickies, adding nodes for the themes that you see in their ideas. Alternatively, you could make a mindmap as people share, but the sticky notes make it simpler to move ideas around as themes emerge.",
Pair & Share,Pairs,Ideation,None,,,Get with one other person and discuss the question or questions at hand. If you want to you can also give specific limitations around the way participants share by saying they have two minutes uninterrupted to share and the listener can't respond. Then the listener has two minutes uninterrupted to share.,,,,,,,,,,,,,
Different Angles,Small Groups,Ideation,Paper,Writing Utensils,,"Establish groups based on different angles from which one might view a central concept. For example, the angles might be different timeframes (e.g., past, present, future), components (e.g., people, rules, physical space), or processes (e.g., planning, delivery, accountability). Have each group present their ideas to the full group.",,,,,,,,,,,,,
Mindmapping,Small Groups,Ideation,Paper,Tape,Writing Utensils,"Place a central concept that you want to explore at the center of the paper. Have individuals generate all the ideas, themes, and categories that branch from that central concept. Encourage them to continue to explore those sub-themes, combining sheets of paper with tape as necessary.",,,It's advisable to have a generic example rather than simply giving verbal directions.,,"No copyright stuff but kinda neat origin story here - https://en.wikipedia.org/wiki/Mind_map#Origins
",,,,,,,,"### The Gist
Place a central concept that you want to explore at the center of your Mural board. Have participants use stickies to generate all the ideas, themes, and sub-categories that branch from it. Encourage them to continue to explore those sub-themes, creating more branches extending out to the edges of the board.
### Step-by-Step Instructions
1. Introduce the activity by describing what a mindmap is, a model for visualizing a information by having a central theme and creating branches of all the related ideas.
2. Optional: show an example of an already completed mindmap that starts with a very different central theme from what you’ll be focusing on (e.g., “Breakfast Foods” is a great example mindmap, unless you’re facilitating a breakfast food workshop, in which case where do we sign up?).
3. Share the central theme with the group, and give them a moment to consider it, and ask any clarifying questions they have about it.
4. Provide the instructions and rules for how you’re going to be using Mural. (e.g., if you’re limiting participation, using certain sticky types, colors to denote the levels of hierarchy)
5. Check in for questions or clarifications on the instructions. Make sure people understand the central theme you’re going to be mapping (especially if it’s jargon), the tools you’ll be using in Mural (or not using), and their individual roles.
6. Invite everyone into the Mural by sharing the link in the Zoom chat. Optional: mute all if you want this to be a silent activity.
7. Map from your central concept, using stickies for nodes and drawing lines for connections. Keep going until you feel you’ve fully fleshed out the idea, run out of space in your Mural, or run out of time. "
Strike a Pose,Full Group,Ideation,None,,,"Have the group move so that everyone has their own space. Explain you're going to give them a prompt, then they’ll have 5 seconds to think of a way to symbolize their answer with their bodies. After a 5 second countdown, everyone strikes their pose, holding it for a moment so others can notice. Repeat as wanted.",,,,,,,,,,,,,
100 (Bad) Ideas,Full Group,Ideation,Sticky Notes,Markers,,"The epitome of ""no idea is a bad idea."" Ask the group to generate 100 (literally) ideas, one per sticky note, in response to a prompt or concept. The ideas can be bad, unpractical, or worthless. The only rule is they need to be unique.",,,,,,,,,,,,,
"""I Know"" vs. ""I Wonder"" Lists ",Full Group,Ideation,Flipchart,Markers,,"Given a particular idea, concept, or problem, generate two lists from the group and scribe them on flipcharts: one list of the things you know (""I know...""), the other of the things you wonder (""I wonder..."").",,https://www.youtube.com/watch?v=UsZwdUvFnSc&feature=youtu.be&t=34m13s,,,,,,,,,,,
Generate a List,Full Group,Ideation,Flipchart,Markers,,"Frame the goal of the list or checklist (e.g.,. ""We're going to create a list of unhelpful things to do when starting a new project""). Have the participants share answers and record them on the flipchart. Clarify anything you don't know how to summarize before writing it on the flipchart. Consolidate redundant shares into one item.",,,,,,,,,,,,,
Opposite Thinking,Full Group,Ideation,Flipchart,Markers,,"Prompt the group to come up with ideas regarding a concept that are the opposite of what you're actually looking for. For example, you might ask for ""the worst examples of..."" or ""when we know we're failing at..."" a concept. Scribe all unique suggestions. Rephrase any compatible (non-opposite) suggestions to be the opposite, or negative.",,,,,,,,,,,,,
Make a Model,Full Group,Ideation,Flipchart,Sticky Notes,Markers,"Introduce several different types of models to the group (e.g., pyramid, latter, cycle, flow-chart). Explain that you're going to pick a model to use to elaborate on a topic. Once the group decides on a model, draw a large version of it, then fill it out by putting suggestions on sticky notes (for easy moving/editing).",,,,,,,,,,,,,
Matchstick Convos,Full Group,Ideation,Custom,,,"Everyone in the group gets a certain number of small objects (e.g., match sticks, paper clips) that will be tokens they spend one each time they respond. Make a rule before you start the discussion whether or not you’ll allow gifting of tokens. Continue discussion until all tokens are spent.",,,,,,,,,,,,,
Timeline Map,Individual,Clarification,Paper,Writing Utensils,,"Each person is asked to document a series of events along a horizontal axis of time. For example, a timeline could be tracing their growth process around a topic, assessing where they have been and want to be in the future. Or the history of an idea, organization, or process.",,,,,,,,,,,,,
5 Why's,Individual,Clarification,Sticky Notes,Writing Utensils,,"Generate a question that everyone in the group is going to answer. For example, “What makes a great...?” Everyone should write their first answer on a sticky note. Then they should answer “Why  is that true?”, sticking that answer on top of their first answer. Repeat this process (at least) 5 times.",,http://gamestorming.com/the-5-whys/,This could also be done with scrap paper rather than sticky notes.,,"No copyright, does seem to be attributed to guy at Toyota in the 30s. https://www.toolshero.com/problem-solving/5-whys-analysis/",,,,,,,,
Number Showdown,Pairs,Clarification,None,,,"With pairs of participants standing back-to-back, ask them to consider a question (e.g., “On a scale of 1-5 how important is it for you that...”) and vote on a scale of 1-5 (e.g., “1 not important, 5 very important.”). Count down, then have participants turn and reveal their number with their fingers. They can then discuss their rationale. Repeat.",,,,,,,,,,,,,
Echoed Dialogue,Pairs,Clarification,None,,,"One person shares for 30 seconds. The listener then repeats word for word, or as best they can, what the speaker said. If the echo back is satisfactory then the listener can then share for 30 seconds. If not, the original speaker re-iterates, and the listener tries again. Repeat.",,,,,"Couldn't find anything about it
",,,,,,,,
Analogizing,Pairs,Clarification,Paper,Writing Utensils,,"Come up with analogies to describe the idea or situation you're focusing on. Be specific about how the analog captures all of the elements of your problem. Consider multiple analogies, to find the best fit.",,,,,,,,,,,,,
Subcommittees,Small Groups,Clarification,Flipchart,Markers,,"Break a big idea into smaller parts, and assign each group a different component to tackle. Be sure to tell them if you plan to have the small groups share their conclusions with the rest of the group.",,,,,,,,,,,,,
Case Studies,Small Groups,Clarification,Custom,,,"Create case studies handouts for participants to examine. There should be a case study and then a series of questions for participants to work through. Give groups ample time to process the case studies, and come to their own conclusions.",,,,,,,,,,,,,
Fishbowls,Full Group,Clarification,None,,,"Arrange your participants in a circle, such that everyone can easily enter and exit the center. In the center, have one, two, or more participants process something, respond to prompts, or discuss an idea, while the rest of the group observes.",,,The (brilliant!) idea for hiding cameras to recreate the feeling of not being in the center of the fishbowl came from Mike Pounsford in the Facilitators for Pandemic Response group.,,,,,,,,,,"### The Gist
Choose a few talkers, and ask the rest of the group to mute their mics and turn off their cameras. Provide the group with a theme or prompt, and let the small group converse for an allotted amount of time. Swap in different talkers, repeat.
### Step-by-Step Instructions
1. Decide who will start “in the fishbowl,” being observed by everyone else. Name a few people randomly, or select a subgroup based on a common identifier (e.g., roles, titles, traits), to be the talkers.
2. Instruct everyone who isn’t chosen to talk to mute their mics and hide their cameras. Ask them to observe the talkers, listening closely, and giving them 100% focus.
3. Provide the group with a central question, prompt, or theme for their discussion. And tell them how much time you’re allotting (e.g., “You’ll have 7 minutes.”).
4. When the time is up, assign new people to be talkers, unmuting their mics and enabling their cameras, while the previous talkers go dark and transition into listening.
5. You can provide the new group in the fishbowl with a related central question or topic, or allow them to continue the conversation about the same one. Tell them how much time they have, instruct everyone else to listen.
6. Repeat as many times as you’d like, or for as long as new dimensions of the topic are being explored."
Venn Diagram,Full Group,Clarification,Flipchart,Markers,,"Compare and contrast different concepts by filling out a venn diagram. For each concept, draw a circle that overlaps with the other circle(s). List the commonalities in the overlapping region, and what distinguishes them in the non-overlap.",,,,,,,,,,,,,
Frequently Asked Questions,Full Group,Clarification,Flipchart,Markers,,Prepare a numbered list of frequently asked questions on flip chart or somewhere the entire group can see. Ask the group what question(s) they'd like to discuss or get answered (have them shout out the number of the question). Answer the question. Repeat.,,,,,"Since we 'came up with' this one, didn't google around",,,,,,,,
Fill in the Model,Full Group,Clarification,Flipchart,Markers,,"Draw a pre-existing conceptual model, but leave blanks where the labels would go. Introduce the model, then progressively fill in the blanks (either from suggestions or on your own), explaining each part, and checking in for understanding, additions, and reactions.",,,The group could generate their examples individually and then do a go around to have them add to the model OR the group can say them outloud and the facilitator can add them to the model.,,,,,,,,,,
Causal Diagram,Small Groups,Clarification,Flipchart,Markers,,"Each small group should create a diagram of a concept with every component as a sticky note (one idea per sticky). Discuss which sticky leads to, or causes, the others, using directional arrows (on separate stickies) to represent causality (arrow can go both ways). What happens to the arrows if an component is removed? A new one added?",,,,,,,,,,,,,
Anonymous Q&A,Full Group,Clarification,Index Cards,Writing Utensils,,"Pass out index cards to all of the participants (at least one per person). Ask everyone to write a question on the card, or to scribble something else, then collect all of the cards. Read the question aloud, answer it, repeat.",,,,,,,,,,,,,
Rank Order Voting,Individual,Execution,Paper,Writing Utensils,,"Given a set of potential options, allow participants to rank their preferences (1st choice, 2nd, etc.), or giving them a limited number of choices (e.g., ""rank your top 3""). You can prepare ballots, or use scrap paper and communicate the instructions verbally. Tally votes by counting how many votes each option received at each rank.",,,,,,,,,,,,,
10/10/10 Analysis,Pairs,Execution,None,,,"Regarding potential plans or actions, have pairs discuss: How would you would feel about it in 10 minutes? How would you feel about it in 10 months? How would you feel about it in 10 years? Repeat with different ideas. Ask participants to share with the full group the things they heard that felt poignant.",,,,,"Suzy Welch wrote a book called 10-10-10 which basically is how this technique can change your life and that seems to be what everyone cites - https://www.oprah.com/spirit/suzy-welchs-rule-of-10-10-10-decision-making-guide/all
",,,,,,,,
Counterfactuals,Small Groups,Execution,None,,,"Give each group a fact, plan for the future, or something that has already happened, and ask them to consider how things would be different if that weren't true, you did the opposite, or that didn't happen. What alternative timelines crop up? What can you learn from these counterfactuals that can inform your decision-making?",,,,,"Couldn't find anything about it
",,,,,,,,
Finger Voting,Full Group,Execution,None,,,Have participants stand with their backs to each other in a circle. They are then asked to vote with their fingers (on a scale from 1-5) and turn around to show their numbers. Discuss answers.,,,,,,,,,,,,,"### The Gist
Tell participants you’re going to have them voting on a decision using a number scale. Explain the scale and decision you’re voting on, then ask everyone to type their vote into the Zoom chat, but not hit send until you give them a cue. Cue the votes, then review or discuss the numbers as a whole.
### Step-by-Step Instructions
1. With a decision in mind that you want group input on, explain to all participants that you’ll be having them vote on a number scale.
2. Clearly explain the scale you’re using. For example, “Vote on a scale from 1 - 10, where 1 means you totally disagree with this plan, and 10 means you wholeheartedly support it.”
3. Instruct everyone not to submit their response until you give them the cue, but to consider their vote then type the number in the Zoom chat box.
4. Check in for questions or clarifications about the instructions. If you’re using a creative or non-intuitive scale (e.g., 1 = watch a movie, 5 = read a book), use this opportunity to suggest what a middle number might represent (does 3 = watch a movie then read a book, or does 3 = neither?).
5. On a countdown from 3, 2, 1, have everyone hit enter and send their votes simultaneously.
6. Review the votes. If there’s general consensus, move on with that decision. If there are just a few outliers, discussing them might clarify the issue. And if people are all over the place, it might be worth going back and ideating different options."
Red Team vs. Blue Team,Full Group,Execution,None,,,"Appoint (randomly or strategically) members of your group to be on the ""Red Team,"" and play devil's advocates to your current plans. What flaws do they see? What vulnerabilities can they exploit? What responses does Blue Team have in light of these issues?",,,,,,,,,,,,,
Vanishing Options,Full Group,Execution,None,,,"When the group is considering multiple options for a decision, strategically remove one (or several, or all of them) from consideration, and prompt the group to make a choice under those new conditions. Can be repeated several times.",,,,,,,,,,,,,
"Heads Down, Hands Up ",Full Group,Execution,None,,,"Ask participants to put their heads down (or close their eyes). Then prompt the group with ""yes or no"" questions, asking participants to raise their hands to symbolize a vote for ""yes."" Count the hands raised.",,,,,,,,,,,,,
What's the MVP?,Full Group,Execution,Sticky Notes,Markers,,"Reduce all of the possible plans, ideas, and goals to what would constitute the “minimum viable product.” That is, what is absolutely necessary (minimum) in order to end up with something that is sufficient for you to move forward (viable). Use sticky notes to sort items as “MVP,” or to be included in future improvements.",,,,,,,,,,,,,
